delay_ms,cond,seed,rms,p50,p90,p99,max,jerk
100,P0,1,1.4880087729844609,0.8426658426721806,2.6790459974534904,4.119208375184523,5.926799617978816,68618.24061005299
100,P1,1,1.4362185905635396,1.1267179568954617,2.3439273360766464,3.1396109322734467,4.880527065508161,27548.39365625691
100,P2,1,1.9612947432883605,1.509706989618034,3.3398321272123845,4.348639885454233,5.87834649729097,77235.38345285686
100,P3,1,1.8581818291786185,1.3624121424646394,3.1839936918582814,4.22101255071333,5.169417025535282,135565.24698810684
100,P0,2,1.6269554653958156,1.3739700055434696,2.573341284426315,3.3691723582344224,4.83337924696211,55563.305025189715
100,P1,2,1.3746939775025389,1.0158688072147442,2.220514703750657,2.812255139259989,3.359764780177258,27201.104300208
100,P2,2,1.6118559757863622,1.2720214243612322,2.6489286793916826,3.451615580855105,4.341914501723835,112910.67476399093
100,P3,2,2.5857774215491327,1.934284903893347,4.409507315272795,5.611099364843071,7.578834128154767,107183.1551322376
100,P0,3,1.5949405871916735,1.0746645570911966,2.2169496852854373,4.719902429315117,5.457465680038084,52868.003415089974
100,P1,3,1.5456519782729334,1.2261534078104528,2.5322183632523974,3.190671254222792,4.013450134070496,23588.53741756589
100,P2,3,1.7996591910316042,1.4518988420188255,2.9181976412534993,3.918629753561362,4.856633523851045,99660.257292028
100,P3,3,2.017667123214142,1.6720576303617445,3.330795111776524,4.018565485014075,5.304466998872982,86082.01132602336
100,P0,4,1.7518083841385608,1.433619081121402,2.79669995656135,3.4627006946807106,4.989458894098007,56795.90530610471
100,P1,4,1.591540341407546,1.2230324551897145,2.289005938009699,3.833391231641059,5.087051225463711,26281.650510727184
100,P2,4,1.4684805114293276,1.1463945264347568,2.2669240246837745,3.422146531264668,4.418027162390544,82241.83499577525
100,P3,4,1.6417323132259733,1.3213671827959814,2.4098410498130676,3.7555585695388345,4.236472326793958,88860.32075230835
200,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
200,naive,-1,9.04542683850047,7.398060887010388,13.878914301034692,16.221642881326687,17.16741197531921,49315.65527895638
200,P0,0,2.9991218434188522,2.0293087886432013,5.090017484941043,6.7957993893511786,8.099812575706665,66205.12618415726
200,P1,0,3.184023489409187,2.936586084799714,4.672689212247529,5.887156350397419,7.945878139035571,40947.7701447974
200,P2,0,2.6743624488956743,1.59533261281094,4.863129955526588,6.624256529955322,8.062253891986543,93826.12374642282
200,P3,0,2.4476954906409962,1.5878135893850593,4.125998778823823,5.841293176673119,6.732611027766879,130385.52497925318
200,P0,1,3.3367144445770425,2.1978142079729963,5.532261240192597,8.219271643030543,9.501537515011378,63143.5702332595
200,P1,1,2.9054682403268184,2.5097529948640775,4.211228072740927,5.844753276561747,7.677887233143764,44772.75931460361
200,P2,1,3.4765962897035667,2.8221086171684298,5.4786251264304155,6.097113129069508,6.872629336806611,76213.65602162536
200,P3,1,3.5770041853363943,3.152816384065659,5.398170479011412,6.395705703289496,9.686972787582349,111593.98599901142
200,P0,2,3.2864261901361225,1.8703677450168736,5.651051373800129,8.879749671091995,11.513832698920396,60157.2999929553
200,P1,2,3.23241662106423,2.84535261683673,4.984382642277249,5.806528083235032,6.913387614692297,40274.85338313353
200,P2,2,3.201922542077206,2.442075537522276,5.388004636980644,6.526417137722599,7.09562275004518,63477.44459337164
200,P3,2,3.9603411690111585,3.460040997035994,5.991933961485036,7.113305215488114,8.040281133034526,101580.8769541445
200,P0,3,3.1507120849190273,2.3364473893843374,4.982959856449132,7.834329038967955,10.363927165913069,67698.37411152107
200,P1,3,3.058576729014932,2.588497895612728,4.644261668719731,5.531717606752967,7.253187193296071,54515.62373202035
200,P2,3,2.537070432480956,1.910596738579424,4.442497093679411,5.47402483388944,6.352211495861226,73921.635249475
200,P3,3,2.3310906762754904,1.7340425518550404,3.912207150530468,5.38659530013607,6.487868737630379,124086.74400477152
200,P0,4,3.4662612452751382,2.3343200977501652,6.0791774089623845,8.00111348627363,9.093060039969856,64079.61515146786
200,P1,4,2.799160170709573,2.4487037180384306,4.233983837493388,5.670768194277784,7.462820612560861,38987.08539860871
