cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
P2,3,100.0,0.0,0.0,1.7996591910316042,1.4518988420188255,2.9181976412534993,3.918629753561362,4.856633523851045,99660.257292028
P3,3,100.0,0.0,0.0,2.017667123214142,1.6720576303617445,3.330795111776524,4.018565485014075,5.304466998872982,86082.01132602336
P0,4,100.0,0.0,0.0,1.7518083841385608,1.433619081121402,2.79669995656135,3.4627006946807106,4.989458894098007,56795.90530610471
P1,4,100.0,0.0,0.0,1.591540341407546,1.2230324551897145,2.289005938009699,3.833391231641059,5.087051225463711,26281.650510727184
P2,4,100.0,0.0,0.0,1.4684805114293276,1.1463945264347568,2.2669240246837745,3.422146531264668,4.418027162390544,82241.83499577525
P3,4,100.0,0.0,0.0,1.6417323132259733,1.3213671827959814,2.4098410498130676,3.7555585695388345,4.236472326793958,88860.32075230835
teacher,-1,100.0,25.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,25.0,0.0,6.391313585137347,5.279151545003724,9.907335490256107,12.017881956880592,13.570491655184114,50360.801985793594
P0,0,100.0,25.0,0.0,1.657879192204538,0.8614312547596512,2.8400132318564175,4.990713616536041,6.721631032715138,61180.030675542315
P1,0,100.0,25.0,0.0,1.4692291044536476,1.1370261455645807,2.345178260036415,3.2772250860027015,4.550984797816156,28484.086879784707
P2,0,100.0,25.0,0.0,1.6828600035828154,1.2372842771328483,2.641339325489753,3.8031252370866326,4.45494721489699,105953.27465378675
P3,0,100.0,25.0,0.0,1.68436498131827,1.2770395875710296,2.602937280803289,4.005495698550978,4.762979857272242,113066.6441035663
P0,1,100.0,25.0,0.0,1.7823023769389978,1.060787806766091,2.7198684028141664,5.563965861186209,7.231765146127927,54406.62434612247
P1,1,100.0,25.0,0.0,1.7126360234887141,1.4803683151494245,2.526552464598287,3.958850241617133,5.231166062731177,27721.245516343555
P2,1,100.0,25.0,0.0,1.9669233358041316,1.4443839601223754,3.2894763395337967,4.466661777509984,5.7708871456117805,103759.28630177096
P3,1,100.0,25.0,0.0,2.5078777966406727,1.583522105760532,4.336112317493175,6.1877552349354445,7.475130771270933,116240.60453073362
P0,2,100.0,25.0,0.0,1.8234194953727905,1.2361596002202333,2.9930098899522,4.497179096860734,6.790714608563945,57537.73063104617
P1,2,100.0,25.0,0.0,1.6268597353710834,1.2562597416149544,2.5934786527869043,3.646451520355356,5.121181741043884,33002.36898123822
P2,2,100.0,25.0,0.0,2.099873956021068,1.4342798840954032,3.551214744728606,4.602525025822047,5.799782686586312,87218.95096014434
P3,2,100.0,25.0,0.0,2.037896500864366,1.5433322403361511,3.364503942847667,4.320468417293891,6.2674880260165935,123800.58284282351
P0,3,100.0,25.0,0.0,1.5124889623773974,0.9744395099253135,2.470020964625126,3.769205942634443,5.143858665268155,56583.52833212118
P1,3,100.0,25.0,0.0,1.619466322600467,1.1080169651421699,2.736963879884603,3.6265824251910934,4.813764917972492,32270.767480784503
