cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
P2,3,100.0,0.0,0.0,1.7996591910316042,1.4518988420188255,2.9181976412534993,3.918629753561362,4.856633523851045,99660.257292028
P3,3,100.0,0.0,0.0,2.01730194623246,1.6639582652161902,3.329809370864718,4.018554760074433,5.304463710524345,87079.0559024397
P0,4,100.0,0.0,0.0,1.7518083841385608,1.433619081121402,2.79669995656135,3.4627006946807106,4.989458894098007,56795.90530610471
P1,4,100.0,0.0,0.0,1.5920286021677432,1.2168700073174346,2.3258789701672717,3.7969121929865204,5.161103385411991,29831.694014367225
P2,4,100.0,0.0,0.0,1.4684805114293276,1.1463945264347568,2.2669240246837745,3.422146531264668,4.418027162390544,82241.83499577525
P3,4,100.0,0.0,0.0,1.687013562187022,1.471777227837497,2.549666938139571,3.650171075751004,4.545288700023207,92542.38081931586
teacher,-1,100.0,25.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,25.0,0.0,6.391313585137347,5.279151545003724,9.907335490256107,12.017881956880592,13.570491655184114,50360.801985793594
P0,0,100.0,25.0,0.0,1.657879192204538,0.8614312547596512,2.8400132318564175,4.990713616536041,6.721631032715138,61180.030675542315
P1,0,100.0,25.0,0.0,1.859355806652551,1.2084181917493642,3.2070373456689794,4.694910772304875,7.512442573518811,33572.20181564232
P2,0,100.0,25.0,0.0,1.6828600035828154,1.2372842771328483,2.641339325489753,3.8031252370866326,4.45494721489699,105953.27465378675
P3,0,100.0,25.0,0.0,1.6690478017103985,1.1605756667431848,2.826256904315391,3.5791041926596088,4.210505833750801,100214.70825299474
P0,1,100.0,25.0,0.0,1.7823023769389978,1.060787806766091,2.7198684028141664,5.563965861186209,7.231765146127927,54406.62434612247
P1,1,100.0,25.0,0.0,1.4341652839533428,1.1688222392019583,2.1036998468004335,3.2392935122451405,4.501373841502939,30157.865226878872
P2,1,100.0,25.0,0.0,1.9669233358041316,1.4443839601223754,3.2894763395337967,4.466661777509984,5.7708871456117805,103759.28630177096
P3,1,100.0,25.0,0.0,2.0925368273149076,1.501230192243516,3.484845133092629,5.009264952997218,5.969960521814343,126477.46959770069
P0,2,100.0,25.0,0.0,1.8234194953727905,1.2361596002202333,2.9930098899522,4.497179096860734,6.790714608563945,57537.73063104617
P1,2,100.0,25.0,0.0,1.782049945912543,1.257709974166109,3.0564045641582474,3.8101611990168274,5.454403154477802,32809.8356172096
P2,2,100.0,25.0,0.0,2.099873956021068,1.4342798840954032,3.551214744728606,4.602525025822047,5.799782686586312,87218.95096014434
P3,2,100.0,25.0,0.0,2.2530229436692575,1.5442720373270002,3.8101373548717894,5.082887444595471,6.639235916714384,116503.91397197964
P0,3,100.0,25.0,0.0,1.5124889623773974,0.9744395099253135,2.470020964625126,3.769205942634443,5.143858665268155,56583.52833212118
P1,3,100.0,25.0,0.0,1.6210245615587466,1.0563978911664833,2.7833898961307852,3.7718508175953738,4.765664853004154,31310.051137972365
P2,3,100.0,25.0,0.0,2.0882619910390283,1.4398443036131283,3.5538613095058196,5.035312124882154,6.197209962764063,96381.45980173604
P3,3,100.0,25.0,0.0,2.3394213770145798,1.7119831902693932,3.9081164475724157,5.087365901196416,6.145459603345827,90416.3698752087
P0,4,100.0,25.0,0.0,1.93988872167537,1.4271014051247544,2.9396099967911717,5.439322135611017,7.8721217285588665,55104.3838921164
P1,4,100.0,25.0,0.0,1.686339783837614,1.245660538415848,2.7461088470083816,4.529470663300145,6.660627239256385,29363.537770446314
P2,4,100.0,25.0,0.0,1.3125616192279776,0.9364929999436811,2.209961446150421,2.8629611851826318,3.732130766646108,67777.05538240325
P3,4,100.0,25.0,0.0,1.9010430970985492,1.5173572419833665,2.9235974101116065,4.205104648516766,5.013399546425134,153610.3492713839
teacher,-1,100.0,50.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,50.0,0.0,6.561285547927006,5.415197782059546,10.139840649585215,12.9471267841295,15.15349968511211,50840.4321536462
P0,0,100.0,50.0,0.0,2.081432726340399,1.4308304173095887,3.278393011439462,5.677913859771209,7.550249058948282,54964.263739267604
P1,0,100.0,50.0,0.0,1.9306049336714688,1.4947735852548145,2.9566033355270727,4.67443377331026,6.576135045410524,30281.941669785174
P2,0,100.0,50.0,0.0,2.0494800609275665,1.4254507480155496,3.6151665653133356,4.73982046657305,5.868509934459368,72169.52356855132
P3,0,100.0,50.0,0.0,2.0206087094098337,1.252825823255473,3.750443985418561,4.630447907026735,5.942589500434124,143772.66608643276
P0,1,100.0,50.0,0.0,2.146395680779627,1.191790483656651,3.719959733726308,5.859381646851053,8.13155938776488,56308.184292803366
P1,1,100.0,50.0,0.0,1.7254428991599984,1.3176527445813615,2.7308229492739144,4.158381917336267,4.988834070694708,45787.09703569447
P2,1,100.0,50.0,0.0,2.427094267664471,1.4955608321764515,4.095032731180254,6.414104036634934,8.493255096434211,87291.23986660382
P3,1,100.0,50.0,0.0,2.3529058939045338,1.3886728803860013,3.9577869093377083,6.252413130463405,8.750996706917078,165550.66005639872
P0,2,100.0,50.0,0.0,2.0830818549949233,1.2954276477969369,3.3363158310862295,6.2292250879294215,8.38003233312088,60723.50116371067
P1,2,100.0,50.0,0.0,1.9693909330254578,1.7313732471053385,2.978613616071025,4.1848143103763915,5.724662067086058,37995.05282696536
P2,2,100.0,50.0,0.0,2.1354245512096273,1.4630985728706964,3.5868942199553167,5.325704500999156,6.877404696059756,92739.4211763544
P3,2,100.0,50.0,0.0,2.779545917135271,1.8946003455870415,4.6284475802229865,7.2016074523092755,10.52009516015488,132580.02809001083
P0,3,100.0,50.0,0.0,2.0328263365815604,1.1573305330747463,3.395790842815918,5.937812054838948,8.213554688050834,52144.22582519234
P1,3,100.0,50.0,0.0,1.775174579992413,1.0725846324883481,3.019442267176487,4.679059172793127,6.744844137076726,31818.34108889008
P2,3,100.0,50.0,0.0,2.4612417084980476,1.5164095237058273,4.126566555043297,6.471126191984264,8.64969725166489,87064.8014949863
P3,3,100.0,50.0,0.0,2.391933116183505,1.4605700049918038,3.9965311501965033,6.588229906602497,9.768029152725617,74061.13342289759
P0,4,100.0,50.0,0.0,2.383673781085694,1.6122300862689798,3.7596672887457174,6.524132421594719,8.93518602449032,53706.17861384496
P1,4,100.0,50.0,0.0,2.0932528675952957,1.1892707556355144,3.484567103771667,6.121389187546541,7.949304151074671,38380.037233416246
P2,4,100.0,50.0,0.0,2.3577057064614593,1.481092540309812,3.947863610088286,4.877169425142398,6.800864728503171,73932.66731544318
P3,4,100.0,50.0,0.0,2.11697219577046,1.5953009533442923,3.3999544064946527,5.137811442191359,6.911510336101543,137418.35453452956
teacher,-1,100.0,100.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,100.0,0.0,6.94444142417587,5.699236824784966,10.80852170294854,14.664372243078196,16.96021713062511,51058.88963836123
P0,0,100.0,100.0,0.0,2.9142795302193183,1.4695653450269457,5.102964533942422,7.898701426420388,10.108549522565482,56305.80929188284
P1,0,100.0,100.0,0.0,2.4206150195967395,1.7871424404691918,3.7814805802531075,5.57987600590747,6.657948208942244,42184.12306624642
P2,0,100.0,100.0,0.0,2.7191947755060006,1.4153361530602429,4.807592900060115,6.750309617724146,7.7943347976116115,81145.27461674639
P3,0,100.0,100.0,0.0,2.2889822351646263,1.5336190583115819,3.853974003886691,4.800277477863129,6.102741833157978,89897.3643301562
P0,1,100.0,100.0,0.0,2.9418017296567935,2.1358265907101526,5.173893869790301,6.405873704583584,7.323335132753968,55490.510783545025
P1,1,100.0,100.0,0.0,2.248259224828517,1.6115241489506502,3.713828187405307,4.994905426377798,6.585857801110819,48753.890424498066
P2,1,100.0,100.0,0.0,3.982355643598345,2.5013040572841256,5.981056477848388,12.080845849701438,14.995815764018417,69839.49653074397
P3,1,100.0,100.0,0.0,3.2746830487495333,2.1416887290493114,5.07074043222318,9.977590799437749,13.966542378505508,89984.44483094728
P0,2,100.0,100.0,0.0,2.890459689493953,1.9601629220196155,4.621175166984817,7.902045298673755,9.87196842563155,51528.83684748985
P1,2,100.0,100.0,0.0,2.350031866251815,1.9855442979323499,3.6244913318905674,5.55945280981355,7.354083167141027,39806.370633398816
P2,2,100.0,100.0,0.0,3.394367836224036,2.036603382231528,5.206043066571415,10.463675346098691,13.469409372852567,112436.23136878427
P3,2,100.0,100.0,0.0,3.410540904427563,2.252660478812563,5.478585958537191,9.678280002922705,13.250462459429912,164383.63472094122
P0,3,100.0,100.0,0.0,3.2168143088327397,2.1291013178095803,5.794905810094818,7.469192274426433,8.320470166857618,57123.999168424845
P1,3,100.0,100.0,0.0,2.017325572038222,1.4132899202980458,3.4491682574958276,4.3798607645161,6.055158706140844,42040.04004770483
P2,3,100.0,100.0,0.0,3.3160512307608827,2.085880408500818,5.156697413880759,9.954476303334559,13.417749742710626,89834.76715048915
P3,3,100.0,100.0,0.0,3.0980988802650202,1.9200869145706605,4.928462076041181,9.349528889988704,12.698573931507951,116236.26187388219
P0,4,100.0,100.0,0.0,3.391170719093647,2.548792372587968,5.509628099134929,7.146502139065959,8.938519486289735,56895.97002675947
P1,4,100.0,100.0,0.0,2.4096410551926977,1.892582468054594,3.6789589315749063,6.1342241484551465,9.020453416105227,44023.60828552917
P2,4,100.0,100.0,0.0,2.870272375197969,1.8198854154292405,4.852891614725233,6.536934139950371,9.015070280518984,65243.1238233461
P3,4,100.0,100.0,0.0,2.881923087801928,2.105370777029814,4.3903463141503964,7.913681281965718,12.321902148331006,143001.44081989073
teacher,-1,100.0,200.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,200.0,0.0,7.777855521895767,5.860543546186686,12.52967092824897,17.168568938488878,21.252612150678985,51148.58922865529
P0,0,100.0,200.0,0.0,4.205527668099518,2.3738981972347895,7.04807723623226,13.09285033740366,16.47477874641224,51222.40598159691
P1,0,100.0,200.0,0.0,3.28277934115343,1.7319241435150967,5.595059243007095,9.08416872314506,11.746587811797369,46197.42857533515
P2,0,100.0,200.0,0.0,3.2018108847563336,1.9179394268108798,4.994970174587981,10.062199213566217,13.778239018672366,95202.8125391965
P3,0,100.0,200.0,0.0,4.2900433397934385,2.598577390061218,6.861547041744648,13.296934420936964,16.552509836979084,141247.0098170917
P0,1,100.0,200.0,0.0,4.029109838974743,2.2314586310038798,6.767742033653988,12.129410637673297,15.638255046104746,57717.931927335645
P1,1,100.0,200.0,0.0,3.368934418896187,2.0888875402205778,5.05281657077893,9.675920189138628,14.21914488976249,45170.80061899198
P2,1,100.0,200.0,0.0,4.591623256453011,2.143627027771719,7.5926970418784,15.490641900669312,19.953886943302678,78836.29347142576
P3,1,100.0,200.0,0.0,4.147021315506221,2.512806775365803,6.513260786553,12.451951351414058,15.619361870179873,97267.60382509154
P0,2,100.0,200.0,0.0,3.8047472314919326,2.6938437818484715,5.7077268476343805,10.662982329502006,13.476656989314236,50871.06871802115
P1,2,100.0,200.0,0.0,2.7826672825326324,1.6237038906048913,4.340132145665208,8.410290481185333,13.76466479125402,39473.08262617965
P2,2,100.0,200.0,0.0,3.6119135073229347,1.9339259190409546,6.393084944235629,10.60414782860405,14.010704188470868,60887.90242707845
P3,2,100.0,200.0,0.0,4.898461590562815,2.671191080521813,8.182969957569043,14.136517547143347,16.698319480165026,121951.40496840142
P0,3,100.0,200.0,0.0,4.198078939557768,2.3806345741054478,6.815384228428059,13.65423553193943,18.44467294632628,75649.38944652212
P1,3,100.0,200.0,0.0,2.8988963666375924,1.8663989045660447,4.565245569506288,9.029591723602485,12.56297285975235,44010.3803066177
P2,3,100.0,200.0,0.0,3.4626841487670816,1.886580779029624,5.916575453784304,10.66913948128746,14.518806699300583,68221.43968245004
P3,3,100.0,200.0,0.0,4.2058982940714165,2.1897285132976947,7.054114352877529,12.934840198598494,16.34211494037521,81360.58500279854
P0,4,100.0,200.0,0.0,4.347785553653009,2.7277394059931623,7.263542168263096,11.493100598229631,15.96835178309108,56913.817927372096
P1,4,100.0,200.0,0.0,2.8977425422185976,1.6344415702986765,4.727101773518048,8.686266823633327,15.181087523556798,47716.00819351338
P2,4,100.0,200.0,0.0,4.0009694435990335,3.4770578706472386,6.017491407463979,9.04614495782477,11.837279758039273,62612.55631316582
P3,4,100.0,200.0,0.0,4.345699622855906,2.5288961219516986,6.937209398139264,12.328387880041054,14.637481404181656,123632.52199908787
