cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
A0,3,100.0,100.0,0.0,3.2168143088327397,2.1291013178095803,5.794905810094818,7.469192274426433,8.320470166857618,57123.999168424845
A1,3,100.0,100.0,0.0,2.097861039327712,1.4315041911252802,3.4121312136270867,5.0257032771162455,6.503946934227585,41230.104997273476
A2,3,100.0,100.0,0.0,2.7738531285901558,2.148222543487909,4.324203447560568,6.847169027632314,8.733885926139806,56679.41639114861
A3,3,100.0,100.0,0.0,2.017325572038222,1.4132899202980458,3.4491682574958276,4.3798607645161,6.055158706140844,42040.04004770483
A0,4,100.0,100.0,0.0,3.391170719093647,2.548792372587968,5.509628099134929,7.146502139065959,8.938519486289735,56895.97002675947
A1,4,100.0,100.0,0.0,2.3057141553556706,1.8593794328835667,3.6844274550039557,5.424723973447034,5.911979321990415,34421.59702995982
A2,4,100.0,100.0,0.0,2.660802030893477,1.8689215194835924,4.246426445941386,7.404628969136742,9.050629172085081,53351.66954676141
A3,4,100.0,100.0,0.0,2.4096410551926977,1.892582468054594,3.6789589315749063,6.1342241484551465,9.020453416105227,44023.60828552917
naive,-1,100.0,200.0,0.0,7.777855521895767,5.860543546186686,12.52967092824897,17.168568938488878,21.252612150678985,51148.58922865529
A0,0,100.0,200.0,0.0,4.205527668099518,2.3738981972347895,7.04807723623226,13.09285033740366,16.47477874641224,51222.40598159691
A1,0,100.0,200.0,0.0,3.0215073384754785,1.792442485144851,4.900580644419089,8.276744938419577,11.066470651087144,41981.25006812808
A2,0,100.0,200.0,0.0,3.544106719211886,1.6627995059408722,5.9080740794244235,11.63940721706688,16.124833711344948,56127.02141205242
A3,0,100.0,200.0,0.0,3.28277934115343,1.7319241435150967,5.595059243007095,9.08416872314506,11.746587811797369,46197.42857533515
A0,1,100.0,200.0,0.0,4.029109838974743,2.2314586310038798,6.767742033653988,12.129410637673297,15.638255046104746,57717.931927335645
A1,1,100.0,200.0,0.0,3.421227751965762,2.4043840027864527,5.181687456631522,9.497718150231123,13.841114279455908,40083.99365325155
A2,1,100.0,200.0,0.0,3.935636681105026,2.3281986384554423,6.586512814514592,12.395438769295382,16.280673592148617,61196.447802214556
A3,1,100.0,200.0,0.0,3.368934418896187,2.0888875402205778,5.05281657077893,9.675920189138628,14.21914488976249,45170.80061899198
A0,2,100.0,200.0,0.0,3.8047472314919326,2.6938437818484715,5.7077268476343805,10.662982329502006,13.476656989314236,50871.06871802115
A1,2,100.0,200.0,0.0,2.6456191795064403,1.5493146642036777,3.9429780106763084,8.064750763096038,12.406145566600102,35828.14129145834
A2,2,100.0,200.0,0.0,3.522045096553937,1.9034159638783923,5.796870822477577,11.014263744068776,15.34701807777246,50573.6990567981
A3,2,100.0,200.0,0.0,2.7826672825326324,1.6237038906048913,4.340132145665208,8.410290481185333,13.76466479125402,39473.08262617965
A0,3,100.0,200.0,0.0,4.198078939557768,2.3806345741054478,6.815384228428059,13.65423553193943,18.44467294632628,75649.38944652212
A1,3,100.0,200.0,0.0,2.745883059154719,1.700940344180509,4.2701861132455905,7.737875881193294,13.282560650312732,45958.03700028528
A2,3,100.0,200.0,0.0,3.951420769628683,2.218136275086001,6.539672053967891,11.933244280303356,14.793850333933875,64604.988487637755
A3,3,100.0,200.0,0.0,2.8988963666375924,1.8663989045660447,4.565245569506288,9.029591723602485,12.56297285975235,44010.3803066177
A0,4,100.0,200.0,0.0,4.347785553653009,2.7277394059931623,7.263542168263096,11.493100598229631,15.96835178309108,56913.817927372096
A1,4,100.0,200.0,0.0,3.203682629363556,2.0783668009189378,5.125535532888193,9.256903327606537,14.70272854170787,44484.15236264695
A2,4,100.0,200.0,0.0,4.0369439230746496,2.6890800366536496,6.05157566074503,11.956933813811489,15.827550865484113,69885.40375070734
A3,4,100.0,200.0,0.0,2.8977425422185976,1.6344415702986765,4.727101773518048,8.686266823633327,15.181087523556798,47716.00819351338
